"","Country","Year","Age","Deaths_females","Deaths_males"
"51","Australia","2020",50,1498.33168632,2353.363260502
"52","Australia","2020",55,2189.274984995,3566.7132786
"53","Australia","2020",60,3108.50255366,4923.033345936
"54","Australia","2020",65,4221.812494172,6820.636806165
"55","Australia","2020",70,6433.349572909,9821.59463688
"56","Australia","2020",75,8117.0122518,11899.817929182
"57","Australia","2020",80,11511.419743584,14666.102369547
"58","Australia","2020",85,16010.85898413,15280.70653956
"59","Australia","2020",90,16227.117877,11257.87240573
"60","Australia","2020",95,9543.4523415,4303.23757656
"61","Austria","2020",0,625.17341575,790.547510448
"62","Austria","2020",5,12.87625,17.7756768
